#,License Plate,Created At,Pickup Date,Return Date,Total Days,Odometer at Pickup,Odometer at Return
31190,A17008,12/22/2021 ,01/01/2022 ,01/01/2022 ,0,5001.0,5002.0
31247,A19027,12/22/2021 ,01/08/2022 ,01/08/2022 ,0,12144.0,12160.0
31248,a11005,12/22/2021 ,01/08/2022 ,01/08/2022 ,0,8360.0,8360.0
31250,a10144,12/22/2021 ,01/08/2022 ,01/08/2022 ,0,21136.0,21150.0
31253,A19229,12/22/2021 ,01/12/2022 ,01/14/2022 ,2,7298.0,7469.0
31254,A18520,12/22/2021 ,01/12/2022 ,01/14/2022 ,2,1865.0,2006.0
31322,D 56948,12/23/2021 ,12/23/2021 ,01/02/2022 ,10,0.0,0.0
31350,A19410,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,5869.0,5892.0
31351,A15646,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,7380.0,7405.0
31352,A19026,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,11302.0,11310.0
31353,A17986,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,4060.0,4089.0
31354,a17492,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,5211.0,5240.0
31356,A17576,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,4243.0,4350.0
31357,A18520,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,2038.0,2130.0
31358,A20132,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,939.0,985.0
31359,A19229,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,7499.0,7532.0
31360,A17009,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,7278.0,7307.0
31361,A20261,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,94.0,123.0
31362,A17398,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,2583.0,2613.0
31363,A18519,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,1589.0,1618.0
31364,a17493,12/23/2021 ,01/17/2022 ,01/17/2022 ,0,4950.0,4951.0
31512,A17009,12/25/2021 ,01/12/2022 ,01/12/2022 ,0,7103.0,7130.0
31513,A18519,12/25/2021 ,01/12/2022 ,01/12/2022 ,0,1448.0,1450.0
31515,abc8120,12/25/2021 ,01/08/2022 ,01/08/2022 ,0,10906.0,10920.0
