,,Pickup Date,count,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/21/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
